Vessel_name,ADFG,USCG,"AFA
Permit"
NORDIC STAR,961,584684,428
PACIFIC MONARCH,54645,557467,2785
SEADAWN,77,548685,2059
STAR FISH,12,561651,1167
STARLITE,34931,597065,1998
STARWARD,39197,617807,417
AJ,57934,599164,3405
ALASKAN COMMAND,57321,599383,3391
ALYESKA,45,560237,395
CAITLIN ANN,59779,960836,3800
CHELSEA K,62906,976753,4620
FIERCE ALLEGIANCE,55111,588849,4133
HICKORY WIND,47795,594154,993
OCEAN HOPE 3,48173,652397,1623
PACIFIC KNIGHT,54643,561771,2783
PACIFIC PRINCE,61450,697280,4194
VIKING,8,565017,1222
WESTWARD I,53247,615165,1650
ALDEBARAN,48215,664363,901
ARCTURUS,45978,655328,533
BLUE FOX,62892,979437,4611
CAPE KIWANDA,61432,618158,1235
COLUMBIA,39056,615729,1228
DOMINATOR,8668,602309,411
DONA MARTITA,51672,651751,2047
EXODUS,33112,598666,1249
GLADIATOR,32473,598380,1318
GOLDEN DAWN,35687,604315,1292
GOLDEN PISCES,32817,599585,586
HAZEL LORRAINE,57117,592211,523
INTREPID EXPLORER,64105,988598,4993
LESLIE LEE,56119,584873,1234
LISA MELINDA,41520,584360,4506
MAJESTY,60650,962718,3996
MARCY J,55,517024,2142
MARGARET LYN,31672,615563,723
NORDIC EXPLORER,51092,678234,3009
NORTHERN PATRIOT,55153,637744,2769
NORTHWEST EXPLORER,36808,609384,3002
PACIFIC RAM,61792,589115,4305
PACIFIC VIKING,47,555058,422
PEGASUS,57149,565120,1265
PEGGY JO,9200,502779,979
PERSEVERANCE,12668,536873,2837
PREDATOR,33744,547390,1275
RAVEN,56395,629499,1236
ROYAL AMERICAN,40840,624371,543
SEEKER,59476,924585,2849
SOVEREIGNTY,55199,651752,2770
TRAVELER,58821,929356,3404
ARCTIC EXPLORER,57440,936302,3388
BRISTOL EXPLORER,55923,647985,3007
OCEAN EXPLORER,51073,678236,3011
PACIFIC EXPLORER,50759,678237,3010
ANITA J,29,560532,1913
COMMODORE,53843,914214,2657
EXCALIBUR II,54653,636602,410
GOLD RUSH,40309,521106,1868
HALF MOON BAY,39230,615796,249
MISS BERDIE,59123,913277,3679
NORDIC FURY,200,542651,1094
PACIFIC FURY,33,561934,421
POSEIDON,37036,610436,1164
ROYAL ATLANTIC,46,559271,236
STORM PETREL,39860,620769,1641
SUNSET BAY,35527,598484,251
AMBER DAWN,28,529425,980
AMERICAN BEAUTY,24255,613847,1688
ELIZABETH F,14767,526037,823
MORNING STAR,70323,1037811,6204
OCEAN LEADER,32,561518,1229
OCEANIC,3404,602279,1667
PROVIDIAN,70709,1062183,6308
TOPAZ,40250,575428,405
WALTER N,34919,257365,825
ALASKA ROSE,38989,610984,515
BERING ROSE,40638,624325,516
DESTINATION,60655,571879,3988
GREAT PACIFIC,37660,608458,511
MESSIAH,66196,610150,6081
MORNING STAR,38431,610393,208
MS AMY,56164,920936,2904
PROGRESS,6,565349,512
SEA WOLF,35957,609823,1652
VANGUARD,39946,617802,519
WESTERN DAWN,22294,524423,134
ALSEA,40749,626517,2811
AMERICAN EAGLE,39,558605,434
ARGOSY,38547,611365,2810
AURIGA,56153,639547,2889
AURORA,56154,636919,2888
DEFENDER,56676,554030,3257
GUN-MAR,41312,640130,425
NORDIC STAR,961,584684,428
PACIFIC MONARCH,54645,557467,2785
SEADAWN,77,548685,2059
STAR FISH,12,561651,1167
STARLITE,34931,597065,1998
STARWARD,39197,617807,417
AJ,57934,599164,3405
ALASKAN COMMAND,57321,599383,3391
ALYESKA,45,560237,395
ARCTIC WIND,1112,608216,5137
CAITLIN ANN,59779,960836,3800
CHELSEA K,62906,976753,4620
FIERCE ALLEGIANCE,55111,588849,4133
HICKORY WIND,47795,594154,993
OCEAN HOPE 3,48173,652397,1623
PACIFIC CHALLENGER,6931,518937,657
PACIFIC KNIGHT,54643,561771,2783
PACIFIC PRINCE,61450,697280,4194
VIKING,8,565017,1222
WESTWARD I,53247,615165,1650
ALDEBARAN,48215,664363,901
ARCTIC EXPLORER,57440,936302,3388
ARCTURUS,45978,655328,533
BLUE FOX,62892,979437,4611
CAPE KIWANDA,61432,618158,1235
COLUMBIA,39056,615729,1228
DOMINATOR,8668,602309,411
EXODUS,33112,598666,1249
GLADIATOR,32473,598380,1318
GOLDEN DAWN,35687,604315,1292
GOLDEN PISCES,32817,599585,586
HAZEL LORRAINE,57117,592211,523
INTREPID EXPLORER,64105,988598,4993
LESLIE LEE,56119,584873,1234
LISA MELINDA,41520,584360,4506
MAJESTY,60650,962718,3996
MARCY J,55,517024,2142
MARGARET LYN,31672,615563,723
NORDIC EXPLORER,51092,678234,3009
NORTHERN PATRIOT,55153,637744,2769
NORTHWEST EXPLORER,36808,609384,3002
PACIFIC RAM,61792,589115,4305
PACIFIC VIKING,47,555058,422
PEGASUS,57149,565120,1265
PEGGY JO,9200,502779,979
PERSEVERANCE,12668,536873,2837
PREDATOR,33744,547390,1275
RAVEN,56395,629499,1236
ROYAL AMERICAN,40840,624371,543
SEEKER,59476,924585,2849
SOVEREIGNTY,55199,651752,2770
TRAVELER,58821,929356,3404
BRISTOL EXPLORER,55923,647985,3007
OCEAN EXPLORER,51073,678236,3011
PACIFIC EXPLORER,50759,678237,3010
ANITA J,29,560532,1913
COLLIER BROTHERS,54648,593809,2791
COMMODORE,53843,914214,2657
EXCALIBUR II,54653,636602,410
GOLD RUSH,40309,521106,1868
HALF MOON BAY,39230,615796,249
MISS BERDIE,59123,913277,3679
NORDIC FURY,200,542651,1094
PACIFIC FURY,33,561934,421
POSEIDON,37036,610436,1164
ROYAL ATLANTIC,46,559271,236
STORM PETREL,39860,620769,1641
SUNSET BAY,35527,598484,251
AMBER DAWN,28,529425,980
AMERICAN BEAUTY,24255,613847,1688
ELIZABETH F,14767,526037,823
MORNING STAR,70323,1037811,6204
OCEAN LEADER,32,561518,1229
OCEANIC,3404,602279,1667
PROVIDIAN,70709,1062183,6308
TOPAZ,40250,575428,405
WALTER N,34919,257365,825
ALASKA ROSE,38989,610984,515
BERING ROSE,40638,624325,516
DESTINATION,60655,571879,3988
GREAT PACIFIC,37660,608458,511
MESSIAH,66196,610150,6081
MORNING STAR,38431,610393,208
MS AMY,56164,920936,2904
PROGRESS,6,565349,512
SEA WOLF,35957,609823,1652
VANGUARD,39946,617802,519
WESTERN DAWN,22294,524423,134
ALSEA,40749,626517,2811
AMERICAN EAGLE,39,558605,434
ARGOSY,38547,611365,2810
AURIGA,56153,639547,2889
AURORA,56154,636919,2888
DEFENDER,56676,554030,3257
GUN-MAR,41312,640130,425
NORDIC STAR,961,584684,428
PACIFIC MONARCH,54645,557467,2785
SEADAWN,77,548685,2059
STAR FISH,12,561651,1167
STARLITE,34931,597065,1998
AJ,57934,599164,3405
ALASKAN COMMAND,57321,599383,3391
ALYESKA,45,560237,395
ARCTIC WIND,1112,608216,5137
CAITLIN ANN,59779,960836,3800
CHELSEA K,62906,976753,4620
DONA MARTITA,51672,651751,2047
FIERCE ALLEGIANCE,55111,588849,4133
HICKORY WIND,47795,594154,993
OCEAN HOPE 3,48173,652397,1623
PACIFIC KNIGHT,54643,561771,2783
PACIFIC PRINCE,61450,697280,4194
STARWARD,39197,617807,417
VIKING,8,565017,1222
WESTWARD I,53247,615165,1650
ALASKA OCEAN,60407,637856,3794
AMERICAN DYNASTY,59378,951307,3681
AMERICAN ENTERPRISE,54836,594803,2760
AMERICAN TRIUMPH,60660,646737,4055
ARCTIC FJORD,57450,940866,3396
ARCTIC STORM,54886,903511,2943
ENDURANCE,57201,592206,3360
HIGHLAND LIGHT,56974,577044,3348
ISLAND ENTERPRISE,59503,610290,3870
KATIE ANN,55301,518441,1996
KODIAK ENTERPRISE,59170,579450,3671
NORTHERN EAGLE,56618,506694,3261
NORTHERN GLACIER,48075,663457,661
NORTHERN HAWK,60795,643771,4063
NORTHERN JAEGER,60202,521069,3896
OCEAN PEACE,55767,677399,2134
OCEAN ROVER,56987,552100,3442
PACIFIC GLACIER,56991,933627,3357
SEATTLE ENTERPRISE,56789,904767,3245
STARBOUND,57621,944658,3414
U.S. ENTERPRISE,55125,921112,3004
EXCELLENCE,60958,967502,4111
GOLDEN ALASKA,52929,651041,1607
OCEAN PHOENIX,59463,296779,3703
ALDEBARAN,48215,664363,901
ARCTIC EXPLORER,57440,936302,3388
ARCTURUS,45978,655328,533
BLUE FOX,62892,979437,4611
CAPE KIWANDA,61432,618158,1235
COLUMBIA,39056,615729,1228
DOMINATOR,8668,602309,411
EXODUS,33112,598666,1249
GLADIATOR,32473,598380,1318
GOLDEN DAWN,35687,604315,1292
GOLDEN PISCES,32817,599585,586
HAZEL LORRAINE,57117,592211,523
INTREPID EXPLORER,64105,988598,4993
LESLIE LEE,56119,584873,1234
LISA MELINDA,41520,584360,4506
MAJESTY,60650,962718,3996
MARCY J,55,517024,2142
MARGARET LYN,31672,615563,723
NORDIC EXPLORER,51092,678234,3009
NORTHERN PATRIOT,55153,637744,2769
NORTHWEST EXPLORER,36808,609384,3002
PACIFIC RAM,61792,589115,4305
PACIFIC VIKING,47,555058,422
PEGASUS,57149,565120,1265
PEGGY JO,9200,502779,979
PERSEVERANCE,12668,536873,2837
PREDATOR,33744,547390,1275
RAVEN,56395,629499,1236
ROYAL AMERICAN,40840,624371,543
SEEKER,59476,924585,2849
SOVEREIGNTY,55199,651752,2770
TRAVELER,58821,929356,3404
BRISTOL EXPLORER,55923,647985,3007
OCEAN EXPLORER,51073,678236,3011
PACIFIC EXPLORER,50759,678237,3010
ANITA J,29,560532,1913
COLLIER BROTHERS,54648,593809,2791
COMMODORE,53843,914214,2657
EXCALIBUR II,54653,636602,410
GOLD RUSH,40309,521106,1868
HALF MOON BAY,39230,615796,249
MISS BERDIE,59123,913277,3679
NORDIC FURY,200,542651,1094
PACIFIC FURY,33,561934,421
POSEIDON,37036,610436,1164
ROYAL ATLANTIC,46,559271,236
STORM PETREL,39860,620769,1641
SUNSET BAY,35527,598484,251
AMBER DAWN,28,529425,980
AMERICAN BEAUTY,24255,613847,1688
ELIZABETH F,14767,526037,823
MORNING STAR,70323,1037811,6204
OCEAN LEADER,32,561518,1229
OCEANIC,3404,602279,1667
PROVIDIAN,70709,1062183,6308
TOPAZ,40250,575428,405
WALTER N,34919,257365,825
ALASKA ROSE,38989,610984,515
BERING ROSE,40638,624325,516
DESTINATION,60655,571879,3988
GREAT PACIFIC,37660,608458,511
MESSIAH,66196,610150,6081
MORNING STAR,38431,610393,208
MS AMY,56164,920936,2904
PROGRESS,6,565349,512
SEA WOLF,35957,609823,1652
VANGUARD,39946,617802,519
WESTERN DAWN,22294,524423,134
ALSEA                                              40749                 626517                         2811,,,
AMERICAN EAGLE,39,558605,434
ARGOSY,38547,611365,2810
AURIGA,56153,639547,2889
AURORA,56154,636919,2888
DEFENDER,56676,554030,3257
GUN-MAR,41312,640130,425
NORDIC STAR,961,584684,428
PACIFIC MONARCH,54645,557467,2785
SEADAWN,77,548685,2059
STAR FISH,12,561651,1167
STARLITE,34931,597065,1998
AJ,57934,599164,3405
ALASKAN COMMAND,57321,599383,3391
ALYESKA,45,560237,395
ARCTIC WIND,1112,608216,5137
CAITLIN ANN,59779,960836,3800
CHELSEA K,62906,976753,4620
DONA MARTITA,51672,651751,2047
FIERCE ALLEGIANCE,55111,588849,4133
HICKORY WIND,47795,594154,993
OCEAN HOPE 3,48173,652397,1623
PACIFIC CHALLENGER,6931,518937,657
PACIFIC KNIGHT,54643,561771,2783
PACIFIC PRINCE,61450,697280,4194
STARWARD,39197,617807,417
VIKING,8,565017,1222
WESTWARD I,53247,615165,1650
ALASKA OCEAN,60407,637856,3794
AMERICAN DYNASTY,59378,951307,3681
AMERICAN ENTERPRISE,54836,594803,2760
AMERICAN TRIUMPH,60660,646737,4055
ARCTIC FJORD,57450,940866,3396
ARCTIC STORM,54886,903511,2943
ENDURANCE,57201,592206,3360
HIGHLAND LIGHT,56974,577044,3348
ISLAND ENTERPRISE,59503,610290,3870
KATIE ANN,55301,518441,1996
KODIAK ENTERPRISE,59170,579450,3671
NORTHERN EAGLE,56618,506694,3261
NORTHERN GLACIER,48075,663457,661
NORTHERN HAWK,60795,643771,4063
NORTHERN JAEGER,60202,521069,3896
OCEAN PEACE,55767,677399,2134
OCEAN ROVER,56987,552100,3442
PACIFIC GLACIER,56991,933627,3357
SEATTLE ENTERPRISE,56789,904767,3245
STARBOUND,57621,944658,3414
U.S. ENTERPRISE,55125,921112,3004
EXCELLENCE,60958,967502,4111
GOLDEN ALASKA,52929,651041,1607
OCEAN PHOENIX,59463,296779,3703
ALDEBARAN,48215,664363,901
ARCTIC EXPLORER,57440,936302,3388
ARCTURUS,45978,655328,533
BLUE FOX,62892,979437,4611
CAPE KIWANDA,61432,618158,1235
COLUMBIA,39056,615729,1228
DOMINATOR,8668,602309,411
EXODUS,33112,598666,1249
GLADIATOR,32473,598380,1318
GOLDEN DAWN,35687,604315,1292
GOLDEN PISCES,32817,599585,586
HAZEL LORRAINE,57117,592211,523
INTREPID EXPLORER,64105,988598,4993
LESLIE LEE,56119,584873,1234
LISA MELINDA,41520,584360,4506
MAJESTY,60650,962718,3996
MARCY J,55,517024,2142
MARGARET LYN,31672,615563,723
NORDIC EXPLORER,51092,678234,3009
NORTHERN PATRIOT,55153,637744,2769
NORTHWEST EXPLORER,36808,609384,3002
PACIFIC RAM,61792,589115,4305
PACIFIC VIKING,47,555058,422
PEGASUS,57149,565120,1265
PEGGY JO,9200,502779,979
PERSEVERANCE,12668,536873,2837
PREDATOR,33744,547390,1275
RAVEN,56395,629499,1236
ROYAL AMERICAN,40840,624371,543
SEEKER,59476,924585,2849
SOVEREIGNTY,55199,651752,2770
TRAVELER,58821,929356,3404
VIKING EXPLORER,36045,605228,1116
BRISTOL EXPLORER,55923,647985,3007
OCEAN EXPLORER,51073,678236,3011
PACIFIC EXPLORER,50759,678237,3010
ANITA J,29,560532,1913
COLLIER BROTHERS,54648,593809,2791
COMMODORE,53843,914214,2657
EXCALIBUR II,54653,636602,410
GOLD RUSH,40309,521106,1868
HALF MOON BAY,39230,615796,249
MISS BERDIE,59123,913277,3679
NORDIC FURY,200,542651,1094
PACIFIC FURY,33,561934,421
POSEIDON,37036,610436,1164
ROYAL ATLANTIC,46,559271,236
STORM PETREL,39860,620769,1641
SUNSET BAY,35527,598484,251
AMBER DAWN,28,529425,980
AMERICAN BEAUTY,24255,613847,1688
ELIZABETH F,14767,526037,823
MORNING STAR,70323,1037811,6204
OCEAN LEADER,32,561518,1229
OCEANIC,3404,602279,1667
PROVIDIAN,70709,1062183,6308
TOPAZ,40250,575428,405
WALTER N,34919,257365,825
ALASKA ROSE,38989,610984,515
BERING ROSE,40638,624325,516
DESTINATION,60655,571879,3988
GREAT PACIFIC,37660,608458,511
MESSIAH,66196,610150,6081
MORNING STAR,38431,610393,208
MS AMY,56164,920936,2904
PROGRESS,6,565349,512
SEA WOLF,35957,609823,1652
VANGUARD,39946,617802,519
WESTERN DAWN,22294,524423,134
ALSEA,40749,626517,2811
AMERICAN EAGLE,39,558605,434
ARGOSY,38547,611365,2810
AURIGA,56153,639547,2889
AURORA,56154,636919,2888
DEFENDER,56676,554030,3257
GUN-MAR,41312,640130,425
MAR-GUN,12110,525608,524
NORDIC STAR,961,584684,428
PACIFIC MONARCH,54645,557467,2785
SEADAWN,77,548685,2059
STAR FISH,12,561651,1167
STARLITE,34931,597065,1998
ALASKAN COMMAND,57321,599383,3391
ALYESKA,45,560237,395
ARCTIC WIND,1112,608216,5137
CAITLIN ANN,59779,960836,3800
CHELSEA K,62906,976753,4620
DONA MARTITA,51672,651751,2047
FIERCE ALLEGIANCE,55111,588849,4133
HICKORY WIND,47795,594154,993
OCEAN HOPE 3,48173,652397,1623
PACIFIC CHALLENGER,6931,518937,657
PACIFIC KNIGHT,54643,561771,2783
PACIFIC PRINCE,61450,697280,4194
STARWARD,39197,617807,417
VIKING,8,565017,1222
WESTWARD I,53247,615165,1650
ALASKA OCEAN,60407,637856,3794
AMERICAN DYNASTY,59378,951307,3681
AMERICAN ENTERPRISE,54836,594803,2760
AMERICAN TRIUMPH,60660,646737,4055
ARCTIC FJORD,57450,940866,3396
ARCTIC STORM,54886,903511,2943
ENDURANCE,57201,592206,3360
HIGHLAND LIGHT,56974,577044,3348
ISLAND ENTERPRISE,59503,610290,3870
KATIE ANN,55301,518441,1996
KODIAK ENTERPRISE,59170,579450,3671
NORTHERN EAGLE,56618,506694,3261
NORTHERN GLACIER,48075,663457,661
NORTHERN HAWK,60795,643771,4063
NORTHERN JAEGER,60202,521069,3896
OCEAN PEACE,55767,677399,2134
OCEAN ROVER,56987,552100,3442
PACIFIC GLACIER,56991,933627,3357
SEATTLE ENTERPRISE,56789,904767,3245
STARBOUND,57621,944658,3414
U.S. ENTERPRISE,55125,921112,3004
EXCELLENCE,60958,967502,4111
GOLDEN ALASKA,52929,651041,1607
OCEAN PHOENIX,59463,296779,3703
