VESSEL_SEQ,VESSEL_CODE,NAME,PERMIT,ADFG_NUMBER,COAST_GUARD_NUMBER,LENGTH,COMMUNICATION_CODE,IGNORE_AUTOSYNC,AKR_PERSON_ID,RMD_ACTION,RMD_CHANGED_BY,RMD_CHANGE_COMMENT,RMD_TS_CHANGED,FFP_STATUS,IFQ_CDQ_LANDING,AKR_VESSEL_ID,VESSEL_CONTACT_SEQ
100421,00195,ELLA-MAE,20500,00195,539569,35,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20500,
100411,06960,MERGANSER,10484,06960,531583,34,0,N,8849,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10484,
3160,10,KUPREANOF,14990,10,562486,73,0,N,30760,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,14990,
2990,10001,KEEPER,10668,10001,520142,30,0,N,9014,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10668,
3845,10005,MICHAEL-LISA,4415,10005,279052,28,0,N,10438,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,4415,
5481,10026,SEA WITCH,11740,10026,519496,42,0,N,10009,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11740,
1862,10046,EVAN A,11979,10046,,36,0,N,8552,U,NORPAC,,07-Jan-15,,,11979,
2355,10060,HELEN A,620,10060,219719,43,0,N,1938,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,620,
5835,10069,SONRAY,11601,10069,519877,43,0,N,9872,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11601,
6066,1010,SUSIE Q,2174,1010,546334,35,0,N,1521,U,NORPAC,,07-Jan-15,,,2174,
3254,1011,LADY LYNN ANN,3260,1011,,35,0,N,10342,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3260,
504,10127,ATLANTIC,1789,10127,210858,61,0,N,75,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,1789,
1420,1013,DANCING BEAR,11866,1013,,34,0,N,10343,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11866,
101738,1014,KARSTEN R,19986,1014,528285,39,0,N,,U,GCAMPBELL,,25-Jul-17,,,19986,4376
5887,1016,WILLIAM,11277,1016,537087,54,2,N,1646,U,NORPAC,,23-Aug-19,,,11277,4368
